Conference,Year,Title,DOI,Abstract,AuthorNames-Deduped,Award
EuroVis,2022,"Of Course it's Political! A Critical Inquiry into Underemphasized Dimensions in Civic Text Visualization",10.1111/cgf.14518,,Eric P. S. Baumer;Mahmood Jasim;Ali Sarvghad;Narges Mahyar,
EuroVis,2022,"Rich Screen Reader Experiences for Accessible Data Visualization",10.1111/cgf.14519,,Jonathan Zong;Crystal Lee;Alan Lundgard;JiWoong Jang;Daniel Hajas;Arvind Satyanarayan,
EuroVis,2022,"Visual Analytics of Contact Tracing Policy Simulations During an Emergency Response",10.1111/cgf.14520,,Max Sondag;Cagatay Turkay;Kai Xu 0003;Louise Matthews;Sibylle Mohr;Daniel Archambault,
EuroVis,2022,"Effective Use of Likert Scales in Visualization Evaluations: A Systematic Review",10.1111/cgf.14521,,Laura South;David Saffo;Olga Vitek;Cody Dunne;Michelle A. Borkin,
EuroVis,2022,"How accessible is my visualization? Evaluating visualization accessibility with Chartability",10.1111/cgf.14522,,Frank Elavsky;Cynthia L. Bennett;Dominik Moritz,
EuroVis,2022,"Seeing Through Sounds: Mapping Auditory Dimensions to Data and Charts for People with Visual Impairments",10.1111/cgf.14523,,Ruobin Wang;Crescentia Jung;Yea-Seul Kim,
EuroVis,2022,"Interactively Assessing Disentanglement in GANs",10.1111/cgf.14524,,Sangwon Jeong;Shusen Liu 0001;Matthew Berger,
EuroVis,2022,"ModelWise: Interactive Model Comparison for Model Diagnosis, Improvement and Selection",10.1111/cgf.14525,,Linhao Meng;Stef van den Elzen;Anna Vilanova,
EuroVis,2022,"SurfNet: Learning Surface Representations via Graph Convolutional Network",10.1111/cgf.14526,,Jun Han 0010;Chaoli Wang 0001,
EuroVis,2022,"Infographics Wizard: Flexible Infographics Authoring and Design Exploration",10.1111/cgf.14527,,Anjul Tyagi;Jian Zhao 0010;Pushkar Patel;Swasti Khurana;Klaus Mueller 0001,
EuroVis,2022,"Reusing Interactive Analysis Workflows",10.1111/cgf.14528,,Kiran Gadhave;Zach Cutler;Alexander Lex,
EuroVis,2022,"Leveraging Analysis History for Improved In Situ Visualization Recommendation",10.1111/cgf.14529,,Will Epperson;Doris Jung Lin Lee;Leijie Wang;Kunal Agarwal;Aditya G. Parameswaran;Dominik Moritz;Adam Perer,
EuroVis,2022,"Visual Parameter Selection for Spatial Blind Source Separation",10.1111/cgf.14530,,Nikolaus Piccolotto;Markus Bögl;Christoph Muehlmann;Klaus Nordhausen;Peter Filzmoser;Silvia Miksch,
EuroVis,2022,"HyperNP: Interactive Visual Exploration of Multidimensional Projection Hyperparameters",10.1111/cgf.14531,,Gabriel Appleby;Mateus Espadoto;Rui Chen;Samuel Goree;Alexandru C. Telea;Erik W. Anderson;Remco Chang,
EuroVis,2022,"Barrio: Customizable Spatial Neighborhood Analysis and Comparison for Nanoscale Brain Structures",10.1111/cgf.14532,,Jakob Troidl;Corrado Calì;Eduard Gröller;Hanspeter Pfister;Markus Hadwiger;Johanna Beyer,
EuroVis,2022,"LineageD: An Interactive Visual System for Plant Cell Lineage Assignments based on Correctable Machine Learning",10.1111/cgf.14533,,Jiayi Hong;Alain Trubuil;Tobias Isenberg 0001,
EuroVis,2022,"Urban Rhapsody: Large-scale exploration of urban soundscapes",10.1111/cgf.14534,,João Rulff;Fabio Miranda 0001;Maryam Hosseini;Marcos Lage;Mark Cartwright;Graham Dove;Juan Pablo Bello;Cláudio T. Silva,
EuroVis,2022,"AirLens: Multi-Level Visual Exploration of Air Quality Evolution in Urban Agglomerations",10.1111/cgf.14535,,Dezhan Qu;Cheng Lv;Yiming Lin;Huijie Zhang;Rong Wang,
EuroVis,2022,"Where did my Lines go? Visualizing Missing Data in Parallel Coordinates",10.1111/cgf.14536,,Alex Bäuerle;Christian van Onzenoodt;Simon der Kinderen;Jimmy Johansson Westberg;Daniel Jönsson;Timo Ropinski,
EuroVis,2022,"Optimizing Grid Layouts for Level-of-Detail Exploration of Large Data Collections",10.1111/cgf.14537,,Steffen Frey,
